SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
190163,A3AGQ2G8QI59EG,34BBWHLWHAB9ROVM7YWCNMYAF4MIWH,2063,1/6/2020 4:40:29 PM,1/6/2020 5:14:52 PM,Approved,8.00,0.00,0.420000,M73A25,,Female,100.00 %,
190163,A2APG8MSLJ6G2K,3RJSC4XJ10U47AZM77KXRIL19D205O,2451,1/6/2020 4:44:22 PM,1/6/2020 5:25:13 PM,Approved,8.00,0.00,0.420000,M73A25,,Female,100.00 %,
190163,AOS2PVHT2HYTL,3VAR3R6G1P18X9A77QTBT3RA96IO83,4682,1/6/2020 4:43:10 PM,1/6/2020 6:01:12 PM,Approved,8.00,0.00,0.420000,M73A25,,Female,91.67 %,
190163,A2OQMY85Q2WY68,3EQHHY4HQSS1IEA7L990CA8HGUR5GW,6581,1/6/2020 4:40:27 PM,1/6/2020 6:30:08 PM,Approved,8.00,0.00,0.420000,M73A25,,Male,100.00 %,
190163,A5NHP0N1XC09K,3J2UYBXQQLC0QEZ0CQU2JOZ158D064,12308,1/6/2020 4:40:25 PM,1/6/2020 8:05:33 PM,Approved,8.00,0.00,0.420000,M73A25,,Male,100.00 %,
190163,A1OSRAPSRT934Z,34QN5IT0TZRNUSIO55R032VSB3308Q,36908,1/6/2020 4:40:26 PM,1/7/2020 2:55:34 AM,Approved,8.00,0.00,0.420000,M73A25,,,,
190163,A3EQR9C0L23O6E,34FNN24DCM9145V7FFV6JAFLLQGY5M,39419,1/6/2020 4:40:26 PM,1/7/2020 3:37:25 AM,Approved,8.00,0.00,0.420000,M73A25,,Female,100.00 %,
190163,A2UREJJH126LX9,3XUHV3NRVKYFIA5I5FRIXAKIVU45HV,40719,1/6/2020 4:40:27 PM,1/7/2020 3:59:06 AM,Approved,8.00,0.00,0.420000,M73A25,,Male,100.00 %,
190163,A1QEQOI98976S0,33OOO72IVHLQM45SKJVFPZTGY5KTC0,45485,1/6/2020 4:40:26 PM,1/7/2020 5:18:31 AM,Approved,8.00,0.00,0.420000,A1QEQOI98976S0,,Male,100.00 %,
190163,A1EP3XESXAG0EP,3ZY8KE4ISJ39TXJ0UWWPAM6IZ51VQN,75609,1/6/2020 4:40:27 PM,1/7/2020 1:40:36 PM,Approved,8.00,0.00,0.420000,M73A25,,Female,100.00 %,
